strain_name,mating_type,strain_num,concentration,media,FSC.A_mean_all_mean,FSC.A_mean_lowerquant_mean,FSC.A_mean_upperquant_mean,FSC.A_mean_all_corr_mean,FSC.A_mean_upperquant_corr_mean,FSC.A_mean_all_sd,FSC.A_mean_lowerquant_sd,FSC.A_mean_upperquant_sd,FSC.A_mean_all_corr_sd,FSC.A_mean_upperquant_corr_sd,FSC.A_mean_all_se,FSC.A_mean_lowerquant_se,FSC.A_mean_upperquant_se,FSC.A_mean_all_corr_se,FSC.A_mean_upperquant_corr_se
SK1,haploid_mat_a,SGRP-29,0.02,Ethanol,27363.75651082357,5219.896637532552,129830.61887369791,5.24217723349111,24.87528814561272,3015.0448770592943,11.983830168413173,12210.889364382441,0.5771080441185965,2.389289274963335,1740.7369713889857,6.918867573656104,7049.960261570941,0.3331934846233701,1.3794568060719674
273614N,haploid_mat_alpha,SGRP-3,0.02,Ethanol,21500.63625048828,6500.218510904948,54819.336546875,3.3021543230249115,8.423717691216584,2224.5583380030284,279.0264603016481,4792.25729817222,0.21438868017074966,0.42614538830189463,1284.3493552740752,161.09600196618499,2766.81104112568,0.12377736220779091,0.2460351546500165
SK1,haploid_mat_alpha,SGRP-30,0.02,Ethanol,89422.19148782552,6738.980060709636,256463.56504166668,13.334280965597614,38.26211122531206,4148.788285550265,509.93068709820193,9837.069906116163,1.3783161221042737,4.144008481331331,2395.3040334732113,294.4086194641977,5679.434958333334,0.7957711841253036,2.392544412220736
378604X,diploid,SGRP-31,0.02,Ethanol,13125.850197167969,7454.6240859375,22316.620867513022,1.764411679871224,3.001995146365686,643.0983009494875,505.48928407987836,1566.501687006921,0.11494573019096349,0.28736642963698483,371.2929771685776,291.844374235989,904.4201706794488,0.06636394826795086,0.16591108550697486
378604X,haploid_mat_a,SGRP-32,0.02,Ethanol,14846.594768815105,7985.8562779947915,24977.996069010416,1.886641106721712,3.19436586476675,1497.1460184754683,1698.6017853649982,1597.411369458497,0.1991473961671362,0.493093298640783,864.3776567829881,980.6881980264607,922.265884163432,0.11497780278550913,0.2846875487058566
378604X,haploid_mat_alpha,SGRP-33,0.02,Ethanol,10717.07810320638,6074.2320467613445,19268.714897460937,1.7637761444273852,3.178766946181474,1533.5231999069192,832.7297981801377,2578.7129128206534,0.04618127799827727,0.20632909755217244,885.3800322747961,480.77677314152527,1488.8205943797682,0.026662773283826328,0.11912416001339932
UWOPS05-217.3,diploid,SGRP-34,0.02,Ethanol,10700.587394580078,5838.924214524699,21973.635033739698,1.8325693607971154,3.7626923472695197,359.61641620283535,161.09984310967903,1140.1180740144912,0.030980741866414814,0.14573164441855246,207.6246346997155,93.01103778577966,658.2474769402241,0.017886739656268903,0.08413820413449809
UWOPS05-217.3,haploid_mat_a,SGRP-35,0.02,Ethanol,9291.673846728516,5157.28241796875,19681.73376171875,1.8009588445849691,3.8133017603136827,482.1736297526801,139.98867773663088,1616.9068656976997,0.049900713432675846,0.2298041681090483,278.38307493384883,80.82250077474362,933.521614165121,0.028810190333109775,0.13267749831865705
UWOPS05-217.3,haploid_mat_alpha,SGRP-36,0.02,Ethanol,11706.746634749348,6455.415282226562,22761.596486653645,1.8117325007949763,3.520387891563274,906.579832556611,254.6122498273069,2257.590685336395,0.07475520529231393,0.21812117394168723,523.4141103684452,147.0004509767719,1303.4205898989594,0.04315993789884318,0.12593231849119033
S288c,diploid,SGRP-37,0.02,Ethanol,13377.54365213216,6563.201974631651,24136.62202734375,2.0390235164948725,3.6794784990274207,612.679093026297,255.81290012866327,1381.527718226899,0.08356390238204298,0.2099354718581235,353.7304392855884,147.6936467514626,797.6254000112297,0.04824564153480813,0.12120630118973871
S288c,haploid_mat_a,SGRP-38,0.02,Ethanol,13884.503852522786,6552.953482584636,24849.770738932293,2.118049274654563,3.786541118242233,1566.8656305784243,627.4155828458474,3658.719339059199,0.1004306057054639,0.3282612596466556,904.6302935984261,362.23855564981596,2112.3625952951184,0.05798363723892675,0.18952172662152225
S288c,haploid_mat_alpha,SGRP-39,0.02,Ethanol,11839.978946744792,6141.429359700521,21474.948171093878,1.910796583612349,3.4566838061141176,2832.164356342018,625.8594896408616,5996.789441310117,0.2516885128809525,0.5895679412136359,1635.1508535233274,361.3401448190333,3462.2479982139016,0.14531243066375454,0.34038720956526614
BC187,diploid,SGRP-4,0.02,Ethanol,12533.65237766927,7060.00392843696,22857.998035807293,1.7753222928696095,3.2379298625164834,134.13719030637714,30.019489330997207,893.5838126709074,0.020060013304282732,0.13559926591627156,77.4441429317269,17.331760246186338,515.9108547890405,0.01158165408117511,0.07828827267867504
UWOPS83-787.3,diploid,SGRP-40,0.02,Ethanol,14656.258200488282,7899.6756062825525,29299.40064453125,1.847353297368338,3.692716818329362,2684.6457981370627,1076.5252035481824,6064.580902634204,0.10328999059068154,0.4619960070637493,1549.9809742332309,621.5321160579598,3501.3874166581213,0.059634503872123906,0.2667335190427879
UWOPS83-787.3,haploid_mat_a,SGRP-41,0.02,Ethanol,14401.418498225912,6576.4841568576285,27705.83720703125,2.187337439260076,4.203939422310004,2751.3173978779737,1203.0481448000767,5556.597477525677,0.02329733170161421,0.09987990759824182,1588.4738402909488,694.5801702484042,3208.1030494278452,0.013450720729326966,0.05766569153847987
UWOPS83-787.3,haploid_mat_alpha,SGRP-42,0.02,Ethanol,15737.356170930989,7171.227386230469,45304.68841145834,2.1938941543589117,6.3133525565525295,707.662590716466,109.7931650994916,3780.6354287764443,0.06802917350011893,0.4386911540614827,408.5691872455796,63.38911342537251,2182.7508825119166,0.03927666163304142,0.2532784558885046
UWOPS87-2421,diploid,SGRP-43,0.02,Ethanol,9566.446160644531,5588.042017205451,17686.411467447917,1.7116325400906658,3.164842934469209,346.5203638934627,92.81136642053323,413.32195485403446,0.036951784439008005,0.027183417376731467,200.06362537357776,53.58466738675186,238.63154189695916,0.021334122692898298,0.015694353339949865
UWOPS87-2421,haploid_mat_a,SGRP-44,0.02,Ethanol,11291.712343164063,5178.148046952721,33778.14940755208,2.1801965980330618,6.52116681574504,524.184458534363,42.67671052085552,2206.3524687636695,0.083578403692585,0.3729853702537845,302.6380382398327,24.63941030734367,1273.8381917679,0.04825401387035316,0.2153432039198147
UWOPS87-2421,haploid_mat_alpha,SGRP-45,0.02,Ethanol,11331.001367496745,5186.923030095718,33923.167733072914,2.1844120874961477,6.539583671838133,367.60380331977063,39.15893113104957,1502.3531961564267,0.06264051592089796,0.2645902557759399,212.23615480179984,22.608419429689487,867.3840222188077,0.036165518729107476,0.15276125539719085
Y12,diploid,SGRP-46,0.02,Ethanol,12641.29308297526,7272.255397949219,23707.04193359375,1.7387213286668899,3.2596883653871354,284.9963486041287,196.99336930457756,1071.8890965232479,0.03913380695227412,0.10529431353156035,164.54271858465412,113.73417479656922,618.855458419122,0.022593913978310315,0.060791700261583224
Y12,haploid_mat_a,SGRP-47,0.02,Ethanol,13450.514383398437,5841.104946557837,33869.21052669271,2.2770103513662088,5.76431207978327,3463.7326615714055,631.4303135399421,6743.3636848614005,0.3610980324257023,0.5877171815685176,1999.78698455915,364.55646149677534,3893.2828386982765,0.20848004622482347,0.3393186729859518
Y12,haploid_mat_alpha,SGRP-48,0.02,Ethanol,15505.090433382162,6113.226663909821,38110.18363867187,2.53660090878878,6.2365861517779795,903.0240668649523,132.23617002857918,3519.9241016979117,0.1463265317291079,0.6078307140448427,521.3611880891908,76.34658836260532,2032.2291276423412,0.08448166248338476,0.3509312263755124
Y55,diploid,SGRP-49,0.02,Ethanol,10982.724357014975,6493.782199060217,17491.6222421875,1.6910376379020946,2.6922392116437073,355.95857093359456,119.66211498901292,1047.1292822678654,0.02988917308290381,0.11189825246785548,205.51277674886532,69.08695430070657,604.5603729936918,0.017256522125269833,0.06460448618416507
BC187,haploid_mat_a,SGRP-5,0.02,Ethanol,15113.776914388021,6674.7345172537425,39500.94003320312,2.2948718694147625,6.072428333920986,879.7549551105361,1093.0153471488031,4828.305824490736,0.30368244861965615,1.4909572865878977,507.9267601539752,631.0527049047538,2787.623667499565,0.1753311434587232,0.8608045907617569
Y55,haploid_mat_a,SGRP-50,0.02,Ethanol,9867.84670037435,5236.800091422412,24732.747533854166,1.8845673204741413,4.72338606447757,386.01612083028374,34.66668862161524,1025.1166402286383,0.08116634695593411,0.21048978781538888,222.86651127289943,20.014822007602497,591.8513681867692,0.046861412264147126,0.12152633565688199
Y55,haploid_mat_alpha,SGRP-51,0.02,Ethanol,10297.60082495931,5262.846284833168,26481.037788411457,1.957890451987747,5.034996494130614,78.97202637492501,158.09625891450526,465.2196202101384,0.06309189267048343,0.18564222880107514,45.59452068601318,91.27691764216239,268.5946729606189,0.03642612121698659,0.10718059077126284
YIIc17_E5,diploid,SGRP-52,0.02,Ethanol,14621.214999707032,9311.194041015624,24016.969306640625,1.5709074193556127,2.580906816278725,340.4149188504455,171.93850753101881,933.3248837577434,0.058703256242359864,0.14032197577092942,196.5386450344693,99.26874360709621,538.8553728789093,0.03389234079383405,0.08101493048456625
YIIc17_E5,haploid_mat_a,SGRP-53,0.02,Ethanol,13316.125903385417,8199.01716432347,27337.514407552084,1.6234218159680283,3.328626647227701,839.0917166115216,386.50437541934366,3443.8838174782672,0.0344071608928694,0.30139119027330336,484.44982846044724,223.14840519132625,1988.3272490788738,0.019864983603548915,0.17400828483567343
YIIc17_E5,haploid_mat_alpha,SGRP-54,0.02,Ethanol,12786.74738055013,8290.763033291742,27013.56173058452,1.5423768517407632,3.2603724535619985,760.7753917023662,497.4264103678687,1186.0757864484503,0.013596313101464086,0.05251154408665135,439.2338771922041,287.18927192791824,684.7811745853099,0.007849835029116726,0.030317554113991063
YJM975,diploid,SGRP-55,0.02,Ethanol,10940.659135416667,5407.626573893229,23072.34634863281,2.019483587488364,4.23913514177016,1201.3499535262729,362.826694580769,5095.207741523896,0.08814096811767347,0.6546458893387945,693.5997190593381,209.47808978538913,2941.719561145887,0.050888211669373004,0.377959980433635
YJM975,haploid_mat_a,SGRP-56,0.02,Ethanol,10987.59014493815,5354.24936920225,29851.317956380208,2.0510112796416187,5.572952295691334,647.737084726169,120.90965643960651,1594.2962449767256,0.07469422570838205,0.18709529837055772,373.9711802307571,69.80722269303199,920.4673662053222,0.043124731319645046,0.10801952087835485
YJM975,haploid_mat_alpha,SGRP-57,0.02,Ethanol,10734.092325065105,5298.136900878906,28642.17353190104,2.0247070780737806,5.40206825653393,797.963708078319,123.17065485212865,3207.013278941825,0.11206554349416979,0.5400883366136552,460.70456166256946,71.11261073513896,1851.5699798917672,0.06470107170324065,0.31182014653007106
YJM978,diploid,SGRP-58,0.02,Ethanol,12682.574583089192,6151.052395996094,25535.248208333334,2.0605763406912256,4.141295939478494,999.7733194414589,372.98643180436795,3192.281350226629,0.052768589962569015,0.2728784182284053,577.2193951081321,215.34381680632984,1843.0644968823663,0.030465959619646207,0.1575464282202091
YJM978,haploid_mat_a,SGRP-59,0.02,Ethanol,12882.362369222004,5937.019750976563,31087.390693359375,2.1724909626154205,5.2682822415752755,379.9463848347648,287.66004091083477,5334.719656256747,0.1004171826762997,1.098517099001372,219.3621475619766,166.08060205496923,3080.001829591021,0.057975887449425466,0.6342291428178489
BC187,haploid_mat_alpha,SGRP-6,0.02,Ethanol,15200.412432861329,6040.263380533855,42072.534041666666,2.5165273121170757,6.966139171164699,147.75093185100104,62.78880767907271,331.9408705626191,0.002720608601548406,0.1195400355099683,85.30404027719351,36.25113501560827,191.6461509743669,0.0015707441084635836,0.06901647168061763
YJM978,haploid_mat_alpha,SGRP-60,0.02,Ethanol,11850.061890429688,5675.579579080771,30294.234783203126,2.085583572823941,5.335236884225213,977.0178740715519,223.10602294588918,1741.9234557593636,0.0891837030468661,0.10679519781463775,564.0815325982865,128.81032240563596,1005.6999760903918,0.051490234961435795,0.061658236206440446
YJM981,diploid,SGRP-61,0.02,Ethanol,12564.494386295573,6379.929529450382,25192.38238736979,1.9696305027726833,3.9478296445219505,717.704265166868,243.58191801168496,2434.8255652685025,0.08971969063521054,0.32751079490763313,414.36675069263384,140.63208593377166,1405.7471955375527,0.05179968753984875,0.18908844560243032
YJM981,haploid_mat_a,SGRP-62,0.02,Ethanol,15931.682325716145,5813.529778393319,51087.63701041666,2.737001917299654,8.775238636163227,1884.7761472345437,131.49945877992374,6333.606534578427,0.2716862677746317,0.9064991252578781,1088.1760159680496,75.92124792487907,3656.709437680028,0.15685813983480834,0.5233675139877962
YJM981,haploid_mat_alpha,SGRP-63,0.02,Ethanol,15764.636628971353,5767.541714518229,49453.34554947917,2.7310108021590915,8.56670531291357,1654.0469831975208,89.03694666842713,5225.085179913383,0.24779864372853605,0.7752832624170048,954.9644710013771,51.40550512683876,3016.7043351617162,0.14306661366149448,0.44761000025466907
YPS128,diploid,SGRP-64,0.02,Ethanol,10902.101764095052,5622.294344527542,32633.256457980173,1.9391322758972356,5.806706048588413,359.2497178693659,191.168156111648,1327.069288200447,0.0051360374497538865,0.24349182910191045,207.41292131817553,110.37098639154438,766.1838107758132,0.0029652926041834056,0.14058007307746237
YPS128,haploid_mat_a,SGRP-65,0.02,Ethanol,31508.30453540599,8805.491717606285,69447.79509057292,3.6052938774426795,7.960431611711031,1563.2852486990018,1143.326512547682,2539.225970766166,0.3166804440754237,0.8740703317846948,902.5631591565399,660.0998697910402,1466.022797755135,0.1828355396340361,0.5046447413465591
YPS128,haploid_mat_alpha,SGRP-66,0.02,Ethanol,29940.962005452475,8381.124810709634,66933.19670442709,3.60276860941651,8.068541248527318,1413.712438902668,1111.2157440789015,2389.4082387275726,0.34858966380725537,0.9552995819581483,816.2072571571778,641.5607089717041,1379.5254898332737,0.20125833623584005,0.551542470800274
YPS606,diploid,SGRP-67,0.02,Ethanol,11131.862539095053,5608.621162039132,33751.51299186198,1.9852411190017012,6.0254342411684405,444.5716027770986,176.52243581014957,1483.0397685439543,0.0703664563506274,0.415399230207721,256.67353453742123,101.91527583299829,856.2334095877724,0.04062609251595478,0.23983085738159107
YPS606,haploid_mat_a,SGRP-68,0.02,Ethanol,31599.041822444662,8367.717190917969,69114.61283984374,3.8138317756718783,8.37910903547268,1867.2342894873073,1256.928448404099,1959.4196671002983,0.3776306936796989,1.2181231343987304,1078.0482196755966,725.6879780382053,1131.2714722558042,0.2180251826502393,0.7032837195512177
YPS606,haploid_mat_alpha,SGRP-69,0.02,Ethanol,30275.63863507487,8152.207742350261,67578.36210286459,3.7358258411168155,8.356322860467722,1921.2985806834874,1068.9015597937741,2874.041181084187,0.2529398291940238,0.7829788009639659,1109.2622527512574,617.1306032841464,1659.3284495610253,0.1460348784739476,0.45205302150631615
DBVPG 1106,diploid,SGRP-7,0.02,Ethanol,11387.62027438151,5837.513521456896,20955.321666992186,1.9521528646267026,3.594405998846621,208.09578773178742,247.25891249431572,255.2627739376808,0.049821841937891374,0.16992622838241225,120.1441590641747,142.7549996881273,147.37603124701062,0.028764653854364573,0.09810695369896355
DBVPG 1106,haploid_mat_a,SGRP-8,0.02,Ethanol,10826.38786966146,5642.852226399739,23597.492572591145,1.918500081293105,4.180803468241596,462.37850249247424,47.94073683658584,2100.7278538190435,0.07693634722038564,0.35380880126677944,266.95435288152606,27.678597317751844,1212.8557918965696,0.04441922077815617,0.20427160665303393
DBVPG 1106,haploid_mat_alpha,SGRP-9,0.02,Ethanol,11077.607463948569,5692.740008626302,24591.801454101562,1.9441230629036232,4.313389516446859,852.9028687958098,209.1708202882838,2718.473766430919,0.08359596680150465,0.35175320232930524,492.4237008918649,120.7648294000555,1569.5115608338272,0.04826415393601573,0.20308480605313728
273614N,diploid,SGRP-1,0.2,Ethanol,14771.535635957813,8426.080464927083,29979.425730234376,1.7514900439496923,3.550716973845375,1119.1028079160772,335.6209602429372,3783.0585413216127,0.06511814919168785,0.31588872526746015,646.1143074012132,193.7708517419405,2184.1498671921463,0.03759598096495119,0.18237844056713587
DBVPG 1373,diploid,SGRP-10,0.2,Ethanol,11890.477309879558,6575.767341021083,22669.883874906343,1.8080413990641486,3.446431061262753,1157.5724424447915,621.9451333610095,2354.8157144800416,0.019411658929436245,0.08820149290470031,668.324761251993,359.08019016715656,1359.553486647013,0.011207326508327219,0.05092315567145559
DBVPG 1373,haploid_mat_a,SGRP-11,0.2,Ethanol,15125.889064957682,6036.699758138021,41915.234285807295,2.498478151059307,6.935808470880992,2093.1881645748213,495.16794305454937,4389.432288168652,0.17256575027497587,0.25411969186853817,1208.5027502818118,285.8853452166174,2534.2399131638062,0.09963088237416706,0.14671607250668528
DBVPG 1373,haploid_mat_alpha,SGRP-12,0.2,Ethanol,15727.779332356771,6013.223413574219,43940.05171679688,2.6088873168076896,7.293842493769601,2025.3413706934339,449.4761796645779,4902.137563372462,0.16250943821927333,0.27673986682163104,1169.3313855707397,259.50519332366866,2830.2504418176673,0.09382486790175232,0.15977583660496988
DBVPG 6044,diploid,SGRP-13,0.2,Ethanol,11511.773771402994,6630.862371907552,20225.53387434896,1.736377863480742,3.0489489163157755,646.503399656714,214.74637848726263,2275.8580380988337,0.0867897811735014,0.30510586848905513,373.25891182381207,123.98387942711835,1313.9672509337354,0.05010810352342975,0.17615295530349054
DBVPG 6044,haploid_mat_a,SGRP-14,0.2,Ethanol,16903.818443359374,6091.124957608747,53675.7080703125,2.7784300874732835,8.835945480345005,905.5184538394025,299.3022465999671,4667.378119274371,0.17682220355387132,1.0354804032201623,522.8013230803527,172.80223264355075,2694.7120135728273,0.10208834682053042,0.597834889539743
DBVPG 6044,haploid_mat_alpha,SGRP-15,0.2,Ethanol,9447.811497591147,5656.059562337239,17463.724521158852,1.6705805960628486,3.087901845671783,215.16560032118193,96.05763491685575,1118.8281616989705,0.03981038917241954,0.1961679101641576,124.22591726578182,55.458901376965464,645.9557403338348,0.022984538905240184,0.11325759573964272
322134S,diploid,SGRP-16,0.2,Ethanol,39797.73019770289,11677.300016764642,118455.87778391787,3.3836005096420796,10.096207946834726,9143.706027302153,1836.2415895641611,24518.46424527425,0.36224042915488847,0.8809507601191633,5279.1211362537015,1060.1545760320548,14155.741932125302,0.20913960928394043,0.5086171584976044
322134S,haploid_mat_a,SGRP-17,0.2,Ethanol,56883.490037467454,15921.837974934895,145233.86642578125,3.506482624206633,8.96947597762876,18582.895489283208,2813.1325966731824,45147.55529739453,0.5660113012007821,1.398923996072242,10728.839713060343,1624.1628619553728,26065.95320420425,0.3267867771126419,0.8076691457081359
322134S,haploid_mat_alpha,SGRP-18,0.2,Ethanol,78657.73069414063,15230.956766601563,207070.641515625,5.069291322604622,13.528456032589174,27516.74117702915,3541.7537812193236,54594.89793023888,0.830931486432208,0.8035008549559001,15886.797925779041,2044.8324989903515,31520.379016403564,0.4797385173697712,0.4639014349028834
L_1374,diploid,SGRP-19,0.2,Ethanol,9803.34380777181,5655.108299001536,18939.001564688893,1.7332573569380632,3.3459467423995206,764.1957701046432,408.70472657602693,1918.3229954559838,0.03767588535725408,0.17162939464561117,441.20863358348913,235.96578390774155,1107.5442978191616,0.021752182552968125,0.09909027719949613
273614N,haploid_mat_a,SGRP-2,0.2,Ethanol,34328.67882975261,8211.95019108073,86714.11047135417,4.155590376442137,10.499044569859613,6419.2983708239435,931.3651016479772,16090.083925211286,0.33268573760618086,0.8308440125899559,3706.18364240373,537.7238921502828,9289.614285504407,0.19207620016247773,0.47968801432339986
L_1374,haploid_mat_a,SGRP-20,0.2,Ethanol,15643.33750571289,5692.9702483944875,45683.16477734375,2.7276190488122953,8.003999193327065,3263.849036589377,621.6589453359746,6858.808506381233,0.28912998885045377,0.42432667990718864,1884.3841198691778,358.9149594338638,3959.9349374793,0.16692927689360298,0.24498512286875554
L_1374,haploid_mat_alpha,SGRP-21,0.2,Ethanol,15112.314956022135,5672.793860308637,43729.81296744792,2.6488404687297114,7.690506613185798,2741.135596675912,559.4710694103343,5930.104959043366,0.2310819772882701,0.32165510604879816,1582.5953746261034,323.01077252786433,3423.747694426422,0.13341524179225372,0.18570766206349124
L_1528,diploid,SGRP-22,0.2,Ethanol,9174.254365966797,5532.28425016276,16562.731627604167,1.660611691769046,2.9984591658924993,644.2989439151781,498.1946800617162,1247.4970003469202,0.057966997989617436,0.15208135380917093,371.9861687080197,287.6328326424713,720.2427289635451,0.03346726189342012,0.08780421056044756
L_1528,haploid_mat_a,SGRP-23,0.2,Ethanol,17518.49375102539,5482.148745279947,59589.08971158854,3.164761569066926,10.781589830554912,4309.3697226228,572.4237291399485,13852.640170078397,0.4644109193518572,1.4571510056187484,2488.0157693938963,330.4889941094787,7997.825531181787,0.26812776930239635,0.8412865253439183
